ID,과목,소과목,문제,정답
1.1.018,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,조세불복제도에서 심사청구는 그 처분을 안 날로부터 ( ) 이내에 ( )에게 제기해야 한다.,"90일, 국세청장(또는 감사원장) → 불복지 청구기간은 90일, 조세심판원장 이다."
1.1.019,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,우리나라 소득세는 (소득발생지 / 주소지) 과세제도를 채택하고 있다.,주소지 → 소득발생지에 불구하고 주소지를 납세지로 한다.
1.1.020,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 소득세 과세기간은 매년 1/1부터 12/31까지로 하는 것이 원칙이며, 사망 시에는 1/1부터 사망 시까지, 국외이전의 경우에는 1/1부터 출국 시까지로 한다.",∘
1.1.021,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"소득세의 과세방법은 ( ), ( ), ( )의 세 가지이다.","종합과세, 분류과세, 분리과세"
1.1.022,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"소득세법상 거주자는 국내에 주소를 두거나 ( ) 이상 거소를 둔 개인을 말하며, 국적과는 관계가 없다.","183일 → 과세자는 소득발생지가 아닌 ""주소지 과세제도""를 택하고 있다."
1.1.023,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"조세조약이 체결되지 않은 국가의 비거주자의 경우, 국내사업장이나 부동산소득이 있는 비거주자는 국내원천소득에 대해서 ( )로 과세한다.","종합과세 → 조세조약체결국가의 경우, 금융소득이 국내사업장이나 부동산소득과 관련이 있는 경우 종합과세한다."
1.1.024,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"비거주자의 경우, 국내사업장이나 부동산소득이 없는 비거주자는 국내원천소득에 대해서 ( )로 과세한다.",분리과세
1.1.025,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"분류과세의 대상이 되는 소득은 ( ), ( )이다.","양도소득, 퇴직소득 → 분류과세와 분리과세는 다른 개념이다."
1.1.026,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,환매조건부채권의 매매차익은 소득세법상 (이자소득 / 배당소득)으로 분류된다.,이자소득
1.1.027,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,저축성보험의 보험차익은 소득세법상 (이자소득 / 배당소득)으로 분류된다.,이자소득
1.1.028,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,대금업에 해당하지 않는 금전대여로 인해 받는 이자를 ( )라 하며 소득세법상 이자소득으로 분류된다.,비영업대금의 이익 → 비영업대금의 이익의 원천징수세율은 25%이다.
1.1.029,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,집합투자기구로부터의 이익은 소득세법상 (이자소득 / 배당소득)으로 분류된다.,배당소득
1.1.030,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"공동사업자의 손익분배금은 ( )이지만, 출자공동사업자의 손익분배금은 ( )으로 분류된다.","사업소득, 배당소득"
1.1.031,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"합병이나 자본감소 등의 재무활동을 통해 양도차익이 발생한 경우 ( )으로 간주하여 배당과세하며, 해산의 경우 (해산일 / 잔여재산가액확정일)을 해당소득의 수입시기로 한다.","의제배당, 잔여재산가액확정일"
1.1.032,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,$\times$/∘ 합병법인의 경우 합병협정 후 주식을 지급받는 날을 배당소득의 수입시기로 한다.,× →본합병등기일이다.
1.1.033,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,법인세법에 의하여 배당으로 처분된 금액은 (인정배당 / 의제배당)으로서 배당소득으로 과세된다.,인정배당 → 참고로 인정배당의 수입시기는 당해 사업연도 결산일이다.
1.1.034,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,배액배당세액공제제도에서의 배당가산율(Gross-Up)은 배당소득의 ( )이다.,10% → 24년 개정사항으로서 11%에서 10%로 변경되었다.
1.1.035,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"배당세액공제는 ( ), 내국법인으로부터 받은 배당소득일 것, 금융소득종합과세 기준금액인 2천만 원을 초과하는 배당소득일 것의 세 가지 요건을 모두 충족 시 적용된다.",법인세가 과세된 소득에서 지급되는 배당소득일 것
1.1.036,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"금융소득을 과세하는 방법에는 ( ), ( ), ( )의 세 가지가 있다.","무조건 분리과세, 조건부 종합과세, 무조건 종합과세"
1.1.037,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"무조건 분리과세소득을 제외한 금융소득이 5천만 원일 경우, 금융소득종합과세 제외(종합소득과세대상)이 되는 금융소득은 (3천만 원 / 5천만 원)이다.","× →국내사업장이나 부동산임대사업소득에 귀속되거나, 있더라도 금융소득과 연관이 없는 경우는 분리과세한다."
1.1.038,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"금융소득 2천만 원까지는 원천징수로서 납세의무가 종결되는데 이를 ( ) 원천징수라고 하고, 2천만 원 초과분에 대해서는 종합소득에 합산하여 종합과세하며 이때 지급 시 징수한 원천징수세액을 결정세액에서 차감하게 되는데 이를 ( ) 원천징수라 한다.","완납적, 예납적"
1.1.039,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,원천징수의무자는 원천징수한 세액을 다음 달 ( )까지 관할세무서에 납부하여야 한다.,10일
1.1.040,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"원천징수세율은 비영업대금의 이익의 경우 ( ), 저축성외의 초과반환금의 경우 기본세율, 출자공동사업자의 배당소득의 경우 ( ), 법원에 납부한 보증금 및 경매대금에서 발생하는 이자소득의 경우 ( )이다.",25% / 25% / 14%(지방세 제외 기준) → 원천징수세율이 가장 높은 것은 '비실명거래'로 인한 금융소득45% 또는 90%이다.
1.1.041,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"분리과세를 신청한 장기채권의 이자와 할인액은 ( ), 법원보관금의 이자는 ( ), 직장공제회 초과반환금은 ( )의 분리과세율로 과세하고 납세의무를 종결한다.","30%, 14%, 기본세율 → 기본세율은 과세표준 구간별로 6%에서 45%로 과세하는 것을 말한다."
1.1.042,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,연간 ( ) 이하의 기타소득은 분리과세로서 납세의무를 종결할 수 있다.,300만 원 → 300만 원 이하 기타소득은 선택적 분리과세대상이다(총수입금액-필요경비).
1.1.043,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 조세조약이 체결된 국가의 비거주자의 경우, 국내에 고정사업장이 있거나 부동산임대사업소득이 있고 당해 비거주자의 금융소득이 이와 인과관계 경우가 금융소득이 2천만 원을 초과하지 않아도 종합세한다.","× →국내사업장이나 부동산임대사업소득에 귀속되거나, 있더라도 금융소득과 연관이 없는 경우는 분리과세한다."
1.1.044,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"국내사업장이 없는 비거주자나 외국법인에게 이자소득 등의 투자소득을 지급할 경우에는(조세조약이 체결된 것으로 가정), 제한세율과 우리나라 소득세법상의 원천징수세율 중 (높은 / 낮은) 세율을 적용하여 과세한다.",낮은 → 조세조약이 체결되지 않은 국가의 비거주자인 경우는 법정원천징수세율로 과세한다(제한분리과세).
1.1.045,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"비거주자가 유가증권매매로 양도소득을 얻은 경우에(국내원천소득 중 '유가증권양도소득'을 말하며, 취득가액과 양도비용이 확인되는 것으로 가정함), 양도가액의 ( )와 양도차익의 ( ) 중 적은 금액으로 과세한다.",10% / 20%
1.1.046,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 파생상품의 경우, '국내사업장이 없는 비거주자의 장내파생상품 소득'과 '위험회피목적거래를 통한 비거주자의 장외파생상품 소득'은 국내원천소득으로 보지 않는다.","∘ → 즉, 비거주자(비외국인)의 경우 국내원천소득이 아니면 비과세."
1.1.047,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"양도소득세는 열거주의로 과세하는데, 열거된 양도소득세의 과세대상 자산으로는 부동산, 주식, 회원권, 사업용 고정자산과 함께 양도하는 ( ) 등이 있다.",영업권
1.1.048,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 소득세법상 '양도'라 함은 등기·등록에 관계없이 자산에 대한 등기이전을 수반하는 유상이전을 말하며, 유상이전의 형태는 매도·교환·현물출자는 물론이고 대물변제나 공동소유물 분할도 포함한다.",× → 등기·등록에 관계없이 자산의 실질적 유상이전을 뜻함.
1.1.049,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,주권상장법인 주식의 양도소득은 장내거래에 대해서는 세법상 대주주에 한하여 과세하며 장외거래에 대해서는 대주주·소액주주 구분 없이 과세한다.,∘ → 소액주주의 상장주식 장내거래 양도소득은 비과세로서 배제된다.
1.1.050,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 파생상품 등(코스피200을 기준자산으로 하는 선물, 옵션, ELW)에 대해서는 2024년 현재 탄력세율 (5% / 10%)로 과세하고 있다.",∘ → 기본세율은 20%이지만 2016년부터 한시적으로 탄력세율 10%를 적용하고 있다.
1.1.051,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 부동산임대업에 대한 매매차익은 양도소득세의 과세대상이 된다.,"× → 양도소득세의 과세대상이 되는 유산거래는 물권자산으로서의 자산을 매매할 때, 부동산임대업은 '동기권'에 한하여 물권으로 인정이 된다."
1.1.052,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"양도가액에서 ( )를 빼면 양도차익이 되고, 양도차익에서 ( )를 빼면 양도소득금액이 되며, 양도소득금액에서 ( )를 빼면 ( )이 된다.","필요경비, 장기보유특별공제, 양도소득기본공제, 양도소득과세표준"
1.1.053,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"양도의 실지거래가액을 확인할 수 없는 경우 ( ), ( ), ( )를 순차적으로 적용하여 양도가액을 추계한다.","매매사례가액, 감정가액, 환산가액, 기준시가 → 매, 감, 환, 기로 암기"
1.1.054,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"양도소득이 있는 거주자에 대하여 당해 연도의 양도소득금액에서 ( ), ( ), ( )별로 각각 연 250만 원을 공제한다.","부동산등, 주식, 파생상품 → 양도소득기본공제를 말한다(즉, 파, 표 암기)."
1.1.055,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 비상장주식을 매매하여 양도차익이 발생한 경우 양도소득세가 과세되며, 이때 증권거래세는 필요경비로 인정된다.",∘ → 비상장주식은 양도소득세 과세대상에 해당하는 필요경비로 인정됨.
1.1.056,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 세법상 대주주가 3년 이상 보유한 상장주식을 양도하여 양도차익이 발생한 경우 장기보유특별공제가 적용된다.,"× → 장기보유특별공제는 3년 이상 보유한 '토지 및 건물(조합원입주권 포함)'과 '비사업용 토지 제외', 1세대 1주택에 대해서만 적용한다."
1.1.057,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 채권의 매매가 확정되는 때에도 증권거래세가 부과된다.,× → 증권거래세는 주권의 유상양도 시 부과되므로 채권거래나 상속·증여 시에는 부과되지 않는다.
1.1.058,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"장내거래나 금융투자협회를 통해서 주식을 매매하는 경우에는 ( )이, 금융투자회사를 통해서 주식을 매매하는 경우에는 ( )가 증권거래세의 납세의무자가 되며, 개인 간 거래를 하는 경우에는 ( )이 증권거래세의 납세의무자가 된다.","예탁결제원 / 금융투자회사 / 양도인(단, 양도인이 비거주자인 경우 양수인에게 과세)"
1.1.059,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 뉴욕 증권거래소에 상장된 주식을 양도할 경우 증권거래세가 부과되지 않는다.,"∘ → 증권거래세는 주권의 유상양도에 대해서 부과되는데, 해외거래소에서의 상장주식 매매에 대해서는 부과되지 않는다."
1.1.060,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 비거주자인 외국인투자자가 국내 증권시장 장내에서 상장된 주권을 양도할 경우 증권거래세가 부과되지 않는다.,"× → 국내 증권시장에서 양도하는 경우는 거주자·비거주자 구분 없이 증권거래세가 과세된다(외국인투자시장 0.05%, 코스닥 0.20%, 코넥스 0.10%)."
1.1.061,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 주권을 목적으로 하는 소비대차의 경우 증권거래세를 부과하지 않는다.,∘ → '발급' 주권을 통한 대물변제는 주권의 유상양도가 되어 증권거래세가 과세된다.
1.1.062,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"2024년 현재 증권거래세의 기본세율은 ( )이며, 유가증권시장(은 ( ), 코스닥시장은 ( ) ) 과세하고 있다.","0.35% / 0.03% / 0.18% → 24년 증권거래세 개정사항 : 유가증권시장 0.03% → 0.03%, 코스닥시장 0.20% → 0.18%(기본세율 0.35%, 코넥스 시장 0.10% 등 나란히 저하되는 동일)"
1.1.063,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 코넥스시장에서 거래하는 주권에 대해서는 증권거래세가 부과되지 않는다.,× → 코넥스시장의 증권거래세율은 0.10%이다(기본세율은 0.35%).
1.1.064,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"국내 사업장을 가지고 있지 아니한 비거주자(외국법인 포함)가 주권을 금융투자업자를 통하지 않고 거주자에게 양도한 경우, 증권거래세의 납세의무자는 (양도인 / 양수인)이다.",양수인 → 국내사업장이 없는 비거주자 또는 외국법인이 양도 시 → 해외원천징수의무자 부과)
1.1.065,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,우리나라는 현재 금융소득종합과세 부과 시 (부부합산제 / 부부별산제)를 적용한다.,부부별산제(2002.8.29부터)
1.1.066,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"증여재산공제 한도는 성인자녀의 경우 10년간 ( ), 미성년자녀의 경우 10년간 ( )이다.","5천만 원, 2천만 원"
1.1.067,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,"×/∘ 아버지로부터 2억 원, 할아버지로부터 2억 원을 증여받는 경우에는 세대생략할증과세율이 적용되므로 아는 아버지로부터 4억 원을 증여받는 것에 비해 불리하다.","× → 세대생략할증세율이 적용되어도 누진세율의 형태세과가 더 크기 때문에 유리하며, 증여세를 여럿으로 나눌수록 유리함."
1.1.068,1. 금융상품 및 세제,1.1. 세제관련 법규/세무전략,×/∘ 장기보유대상인 자산의 경우 고평가된 상태에서 증여하는 것이 저평가된 상태에서 증여하는 것보다 유리하다.,× → 저평가 상태에서 증여하는 것이 유리하다(증여재산 감소 → 증여세 절감).
1.2.001,1. 금융상품 및 세제,1.2. 금융상품,"특수은행에는 ( ), ( ), ( ), ( )가 있다.","한국산업은행, 한국수출입은행, 중소기업은행, 농업협동조합, 수산업협동조합"
1.2.002,1. 금융상품 및 세제,1.2. 금융상품,"비은행예금취급기관에는 ( ), 신용협동기구, 우체국예금이 있다.",상호저축은행
1.2.003,1. 금융상품 및 세제,1.2. 금융상품,영세상공인과 서민의 금융편의와 저축증대를 목적으로 일정지역을 대상으로 예금 및 대출업무를 영위하는 서민금융기관은 (상호저축은행 / 신용협동기구)이다.,"상호저축은행

(* 서민금융기관에는 상호저축은행과 신용협동기구가 있다.)"
1.2.004,1. 금융상품 및 세제,1.2. 금융상품,[O X] ISA는 전 금융기관을 통틀어 1인 1계좌만 가능하므로 '신탁형/일임형/중개형' 중 하나를 선택하여 가입해야 한다.,"O

(* 중복가입 불가. ISA중개형은 2021년에 신설됨)"
1.2.005,1. 금융상품 및 세제,1.2. 금융상품,[O X] 직전 3개년 중 1회 이상 금융소득종합과세 대상이 된 경우는 ISA가입이 불가하다.,O
1.2.006,1. 금융상품 및 세제,1.2. 금융상품,"[O X] ISA유형 중 서민형이 되기 위해서는 총급여 5,000만 원 이하 또는 종합소득 3,800만 원 이하와 '직전 3개년도 중 1회 이상 금융소득종합과세 대상자가 아닌 자'의 요건을 동시에 충족해야 한다.",O
1.2.007,1. 금융상품 및 세제,1.2. 금융상품,ISA유형 중 서민형과 농어민형의 경우 통산순이익 기준 ( )까지 비과세혜택을 받으며 비과세한도를 초과하는 금액에 대해서는 ( )의 분리과세를 적용한다.,"400만 원, 9.9%(지방세 포함)

(* 일반형은 200만 원, 9.9%이다.)"
1.2.008,1. 금융상품 및 세제,1.2. 금융상품,국내상장주식을 편입할 수 있는 ISA유형은 ( )이 유일하다.,"중개형

(* 단, 중개형은 신탁형과 일임형과는 달리 예금은 편입할 수 없다.)"
1.2.009,1. 금융상품 및 세제,1.2. 금융상품,금융회사가 가입자의 위험성향과 자금운용목표를 고려하여 제시하는 모델포트폴리오 중에서 하나를 선택하여 운용하는 방식은 (중개형 / 신탁형 / 일임형) ISA이다.,"일임형

(* 중개형과 신탁형은 편입상품을 가입자가 직접 선택하게 되지만, 일임형은 금융회사가 제시한 모델포트폴리오 중에서 선택하여 운용한다.)"
1.2.010,1. 금융상품 및 세제,1.2. 금융상품,[O X] 비과세종합저축은 만 19세 이상의 거주자이면 누구나 가입이 가능하다.,"X

(* 비과세종합저축은 과거 '생계형 비과세저축'을 대체한 상품으로서 만 65세 이상 거주자, 그리고 독립유공자·기초생활수급자 등이 가입할 수 있다.)"
1.2.011,1. 금융상품 및 세제,1.2. 금융상품,"( )은 인출이 자유로운 대신 저축성예금에 비해 이율이 낮은 것이 특징이며, 보통예금·당좌예금·가계당좌예금 등이 해당된다.","요구불예금

(* 이에 반해 저축성예금(거치식/적립식)으로 나눔은 일정기간 돈을 회수하지 않을 것을 약속하므로 요구불예금보다는 높은 이자를 지급한다.)"
1.2.012,1. 금융상품 및 세제,1.2. 금융상품,"수시입출식예금에는 ( ), ( ), ( )가 있다.","보통예금, 저축예금, MMDA

(* 금융권의 수시입출식 상품에는 MMF와 CMA 등이 있다.)"
1.2.013,1. 금융상품 및 세제,1.2. 금융상품,"양도성예금증서(CD)는 (기명식 / 무기명식), (복리식 / 할인식), (중도해지가능 / 중도해지불가능) 상품이다.","무기명식 - 할인식 - 중도해지불가능

(* 무기명·할인식이며, 만기가 짧아 중도해지가 안 되지만 환금성이 높은 편이라서 시장에서 매도 가능)"
1.2.014,1. 금융상품 및 세제,1.2. 금융상품,( )는 일정기간 경과 후에 사전에 정해진 매매가액으로 환매를 다시 매수하거나 다시 매도할 것을 조건으로 한 채권매매방식을 말한다.,"환매조건부채권 매매(RP)

(* Repurchase Agreement의 약자)"
1.2.015,1. 금융상품 및 세제,1.2. 금융상품,[O X] RP는 예금자보호가 안되므로 안전성이 낮다는 것이 단점이다.,"X

(* 예금자보호는 안되지만 국공채를 대상으로 하므로 안전성이 매우 높은 상품이다.)"
1.2.016,1. 금융상품 및 세제,1.2. 금융상품,[O X] 표지어음 투자할 경우 투자자는 시장위험 뿐 아니라 발행사의 신용위험에 노출된다.,"O

(* 발행사인 증권사가 지급 불능 시 원금손실이 가능하다.)"
1.2.017,1. 금융상품 및 세제,1.2. 금융상품,[O X] ELS는 사모발행을 할 수 없다.,"X

(* ELS는 공모, 사모발행 모두 가능하다.)"
1.2.018,1. 금융상품 및 세제,1.2. 금융상품,"[O X] ELS는 자본시장법상 파생결합증권이며, 장외파생상품의 겸영인가를 받은 증권회사만이 발행할 수 있다.","O

(* 파생결합증권(ELS, DLS)의 발행자격: 영업용순자본비율 300% 이상으로서, 장외파생상품에 대한 영업인가를 받은 투자매매업자)"
1.2.019,1. 금융상품 및 세제,1.2. 금융상품,ELW는 (증권사 / 자산운용사)가 발행하며 중도매각가 (가능 / 불가능)하다.,"증권사, 가능

(* ELS는 중도해지가 용이하지 않지만, ELW의 장점은 만기 이전 중도매각이 자유롭다.)"
1.2.020,1. 금융상품 및 세제,1.2. 금융상품,"ELD, ELS, ELF 중에서 절대 원금보전이 불가능한 것은 ( )이며, 유일하게 예금자보호가 되는 것은 ( )이다.","ELF / ELD

(* ELF는 펀드상품이므로 원금보장상태가 불가하다. ELS는 원금보장설계가 가능하나, 예금자보호는 은행상품인 ELD만 가능하다.)"
1.2.021,1. 금융상품 및 세제,1.2. 금융상품,"원금보장형 ELS를 ( )라 하며, 자본시장법상 채무증권으로 분류된다.","ELB(파생결합사채)

(* 비교하여, ELS는 자본시장법상 파생결합증권으로 분류된다.)"
1.2.022,1. 금융상품 및 세제,1.2. 금융상품,"투자기간 중 사전에 정해둔 주가수준에 도달하면 확정된 수익으로 조기 상환되며, 그 외의 경우에는 만기 시 주가에 따라 수익이 결정되는 ELS 유형은 ( )이다.","Knock-Out형

(* 수익구조에 따라 Knock-out, Bull Spread, Digital, Reverse Convertible의 4가지 유형이 있다.)"
1.2.023,1. 금융상품 및 세제,1.2. 금융상품,낙인(Knock-in)이 발생하지 않은 상태에서 3~6개월 마다 주가가 일정수준 이상인 경우 특정수익률로 자동 조기상환되는 ELS 유형은 ( )형이다.,"스텝다운(step-down)

(* 기간이 경과할수록 조기상환요건이 완화(step-down)된다고 하여 스텝다운형이라 한다. 37쪽 기출)"
1.2.024,1. 금융상품 및 세제,1.2. 금융상품,[O X] 신탁은 유언으로는 설정할 수 없다.,"X

(* 신탁은 위탁자와 수탁자 간의 신탁계약 또는 위탁자의 유언으로 설정할 수 있다.)"
1.2.025,1. 금융상품 및 세제,1.2. 금융상품,"$\times$/$\circ$ 신탁재산의 독립성에 의해, 수탁자의 파산재단에 편입될 수 없으며 수탁자의 상속인이 상속할 수도 없다.",$\circ$ $\rightarrow$ 수탁자는 자기재산과 차별하여 원칙적으로 위탁자의 지위를 동시에 겸할 수 없다.
1.2.026,1. 금융상품 및 세제,1.2. 금융상품,$\times$/$\circ$ 금전신탁에서 수탁자는 위탁자 또는 수익자를 겸할 수 있다.,"$\times$ $\rightarrow$ 운용대상, 운용방법, 운용조건 · 특정금전신탁은 투자자가 직접 운용대상·방법 등을 특정하는 신탁이다(운용자는 지불불가)."
1.2.027,1. 금융상품 및 세제,1.2. 금융상품,"특정금전신탁은 투자자가 자신이 투자의 동의 ( ), ( ), ( ) 등을 은행(수탁자)에게 지시하고, 은행은 그 지시대로 운용하고 배당하는 상품이다.",연령 별로 '5.5%~3.3%'로 차등과세(늦게 수령할수록 유리함)
1.2.028,1. 금융상품 및 세제,1.2. 금융상품,$\times$/$\circ$ 연금 수령(연금수령한도 내) 시의 과세율은 수령 연령에 관계없이 동일하다.,$\times$ $\rightarrow$ 무조건 '부득이한 사유(회사·폐업·해외이주) 시에는 세율5%~3.7%의 분리과세를 적용한다.
1.2.029,1. 금융상품 및 세제,1.2. 금융상품,$\times$/$\circ$ 가입자의 해외이주 등을 사유로 '연금 외 수령' 시에는 기타소득세(16.5%)가 부과된다.,"코스피200지수, 코스피150지수, KRX300지수, 항셍지수 · 이외로는 '코스닥200 및 코스닥150 구성종목과 그 바스켓'이 기초자산이 될 수 있다."
1.2.030,1. 금융상품 및 세제,1.2. 금융상품,"상장요건으로서 ELW의 기초자산이 될 수 있는 주가지수는 국내지수로는 ( ), ( )가 있고, 해외지수로는 ( ), ( )가 있다.",$\times$ $\rightarrow$ ELW는 현물이 아니므로 배당소득이 없으며 의결권도 없다.
1.2.031,1. 금융상품 및 세제,1.2. 금융상품,"(콜 ELW / 풋 ELW)를 매수할 경우 현물매수에 대한 헤지가 가능하며, 공매도 효과를 얻을 수 있다.",풋 ELW
1.2.032,1. 금융상품 및 세제,1.2. 금융상품,$\times$/$\circ$ ELW를 보유하고 있으면 자본소득 외에 배당소득도 얻을 수 있다.,"$\times$ $\rightarrow$ 만기에 근접할수록 시간가치가 소멸하므로 콜 ELW, 풋 ELW 모두 가격이 하락한다."
1.2.033,1. 금융상품 및 세제,1.2. 금융상품,ELW의 패리티가 100%를 초과할 경우 (내가격 / 외가격) 상태에 있음을 말한다.,내가격(In the Money)
